player,Nation,Position,Team,Age,Weekly,Annual,expected_salary,salary_pct_diff
Fabio Carvalho,POR,"FW,MF",Brentford,21,48850,2540205,,
Kristoffer Ajer,NOR,DF,Brentford,26,48850,2540205,1186334.8612671532,114.12209005531078
Yankuba Minteh,,RW,Brighton,20,48850,2540205,1076053.5297197595,136.06678755670777
Armando Broja,ALB,FW,Everton,22,48850,2540205,,
Ashley Young,ENG,DF,Everton,39,48850,2540205,4896824.952993295,-48.12546855596212
Elliot Anderson,ENG,MF,Nott'ham Forest,21,48850,2540205,2402836.5900981757,5.716926838383602
Emmanuel Dennis,NGA,CF,Nott'ham Forest,26,48850,2540205,,
Ola Aina,NGA,DF,Nott'ham Forest,27,48850,2540205,2704581.557782158,-6.0777075592038
Willy Boly,CIV,DF,Nott'ham Forest,33,48850,2540205,,
Carlos Vinícius,BRA,"MF,FW",Fulham,29,48850,2540205,,
Stefan Bajcetic,,DM,Liverpool,20,52363,2722881,,
Harry Souttar,AUS,CB,Leicester City,26,52363,2722881,,
Deivid Washington,,CF,Chelsea,19,52363,2722881,,
Jens Cajuste,SWE,MF,Ipswich Town,24,46986,2443264,1670917.0423578855,46.22293854590356
Altay Bayındır,TUR,GK,Manchester Utd,26,42744,2222679,,
Ben Brereton,CHI,FW,Southampton,25,42744,2222679,,
Adam Wharton,,DM,Crystal Palace,20,42744,2222679,3247323.681168077,-31.55351242348308
Joel Ward,ENG,DF,Crystal Palace,34,42744,2222679,,
Dango Ouattara,BFA,FW,Bournemouth,22,42744,2222679,2291706.9170207963,-3.0120743847355573
Marcus Tavernier,ENG,"FW,MF",Bournemouth,25,42744,2222679,5019004.468714109,-55.71474355412439
Max Aarons,ENG,DF,Bournemouth,24,42744,2222679,,
Vladimír Coufal,CZE,DF,West Ham,31,42744,2222679,,
André,BRA,MF,Wolves,23,42744,2222679,,
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,42744,2222679,1660504.1236337654,33.855674813742624
Sasa Kalajdzic,AUT,CF,Wolves,27,42744,2222679,,
Bilal El Khannouss,,AM,Leicester City,20,42744,2222679,1710329.7663809233,29.95616656448733
Bobby De Cordova-Reid,JAM,FW,Leicester City,31,42744,2222679,,
Jacob Murphy,ENG,FW,Newcastle Utd,29,42744,2222679,4275565.81702096,-48.01438932008602
Arijanet Muric,KVX,GK,Ipswich Town,25,42744,2222679,1420052.0846024891,56.52094906238511
Dara O'Shea,IRL,DF,Ipswich Town,25,42744,2222679,2095293.7491339592,6.079589122942424
Christian Nørgaard,DEN,MF,Brentford,30,42744,2222679,,
Keane Lewis-Potter,ENG,"DF,FW",Brentford,23,42744,2222679,2137902.827652148,3.965389411124602
Rico Henry,ENG,DF,Brentford,27,42744,2222679,,
Marcus Bettinelli,ENG,GK,Chelsea,32,42744,2222679,,
Bart Verbruggen,NED,GK,Brighton,21,42744,2222679,1482285.4481941038,49.949458298192944
Tariq Lamptey,GHA,DF,Brighton,23,42744,2222679,,
Jake O'Brien,,CB,Everton,23,42744,2222679,2147109.381920975,3.5195979634448813
Jarrad Branthwaite,ENG,DF,Everton,22,42744,2222679,2240673.7314730315,-0.8030946772960974
Andrew Omobamidele,IRL,DF,Nott'ham Forest,22,42744,2222679,,
Harry Toffolo,ENG,DF,Nott'ham Forest,28,42744,2222679,,
Matz Sels,BEL,GK,Nott'ham Forest,32,42744,2222679,4709820.002693286,-52.807559551554576
Morato,BRA,DF,Nott'ham Forest,23,42744,2222679,,
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26,42744,2222679,,
Harry Wilson,WAL,"FW,MF",Fulham,27,42744,2222679,4448348.308054143,-50.03361144234961
Chris Mepham,WAL,CB,Bournemouth,27,45818,2382521,,
Evan Ferguson,IRL,FW,West Ham,19,40274,2094226,,
Samuel Iling-Junior,ENG,LW,Aston Villa,21,40274,2094226,,
Fábio Silva,POR,,Wolves,22,40274,2094226,,
Michael Kayode,,RB,Brentford,20,40274,2094226,,
Charlie Taylor,ENG,DF,Southampton,30,36638,1905153,,
Flynn Downes,ENG,MF,Southampton,25,36638,1905153,2840886.214504188,-32.938074384211085
Paul Onuachu,NGA,FW,Southampton,30,36638,1905153,2209180.552636305,-13.762005657414292
Chadi Riad,,CB,Crystal Palace,21,36638,1905153,,
Dean Huijsen,,CB,Bournemouth,19,36638,1905153,1619256.8303556384,17.656011343275914
Milos Kerkez,HUN,DF,Bournemouth,20,36638,1905153,2032462.5129638282,-6.263806203154985
Crysencio Summerville,NED,"FW,MF",West Ham,22,36638,1905153,,
Jarell Quansah,,CB,Liverpool,21,36638,1905153,,
João Gomes,BRA,MF,Wolves,23,36638,1905153,,
Santiago Bueno,URU,DF,Wolves,25,36638,1905153,1804569.3562372266,5.573830865248872
James Justin,ENG,DF,Leicester City,26,36638,1905153,2664999.2291090577,-28.51206187264391
Jordan Ayew,GHA,"FW,MF",Leicester City,32,36638,1905153,4384873.127618627,-56.55169614828361
Ben Johnson,ENG,"DF,FW",Ipswich Town,24,36638,1905153,2071205.9820755164,-8.017212363838278
Sam Morsy,EGY,MF,Ipswich Town,32,36638,1905153,4459000.012011871,-57.2739853135724
Scott Carson,ENG,GK,Manchester City,38,36638,1905153,,
Ethan Pinnock,JAM,DF,Brentford,31,36638,1905153,2272475.9674964687,-16.163997892621914
Josh Dasilva,ENG,CM,Brentford,25,36638,1905153,,
Mark Flekken,NED,GK,Brentford,31,36638,1905153,2672164.4257129654,-28.70375109901096
Mikkel Damsgaard,DEN,"MF,FW",Brentford,24,36638,1905153,1907759.381181339,-0.13662001649940142
Nathan Collins,IRL,DF,Brentford,23,36638,1905153,1450971.2510514206,31.301912330755332
Vitaly Janelt,GER,MF,Brentford,26,36638,1905153,2068208.221472181,-7.8838880814483785
Jan Paul van Hecke,NED,DF,Brighton,24,36638,1905153,1769189.5260144644,7.685071157516234
Asmir Begović,BIH,GK,Everton,37,36638,1905153,,
James Garner,ENG,"MF,DF",Everton,23,36638,1905153,2147109.381920975,-11.268935991723982
Youssef Chermiti,,CF,Everton,20,36638,1905153,,
Danilo,BRA,"MF,FW",Nott'ham Forest,23,36638,1905153,,
Murillo,,CB,Nott'ham Forest,22,36638,1905153,2053263.2524495255,-7.213407841046744
Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,24,36638,1905153,,
Tom Cairney,SCO,MF,Fulham,33,36638,1905153,,
Amad Diallo,CIV,"MF,FW",Manchester Utd,22,35228,1831878,4937273.373745607,-62.896970426203765
Nathan Patterson,SCO,DF,Everton,22,34195,1778143,,
George Hirst,SCO,FW,Ipswich Town,25,33584,1746391,,
Kevin Danso,AUT,DF,Tottenham,25,33561,1745189,,
Đorđe Petrović,SRB,,Chelsea,25,33561,1745189,,
Diego Gómez,,CM,Brighton,21,33561,1745189,,
William Smallbone,IRL,MF,Southampton,24,30531,1587628,,
Wilson Odobert,,LW,Tottenham,20,30531,1587628,,
Julian Araujo,MEX,DF,Bournemouth,22,30531,1587628,,
Luis Guilherme,,RW,West Ham,18,30531,1587628,,
Rodrigo Gomes,POR,"DF,FW",Wolves,21,30531,1587628,,
Toti Gomes,POR,DF,Wolves,25,30531,1587628,2480132.3076384547,-35.98615706467224
Caleb Okoli,ITA,DF,Leicester City,23,30531,1587628,1179938.956928487,34.551706313076835
Facundo Buonanotte,,AM,Leicester City,20,30531,1587628,1306975.8246316097,21.473402191467184
Victor Kristiansen,,LB,Leicester City,21,30531,1587628,,
Chiedozie Ogbene,IRL,FW,Ipswich Town,27,30531,1587628,,
Jack Clarke,ENG,"FW,MF",Ipswich Town,23,30531,1587628,998471.8479898061,59.00578500999549
Jacob Greaves,ENG,DF,Ipswich Town,23,30531,1587628,1548606.8460686032,2.519758583688213
Leif Davis,ENG,DF,Ipswich Town,24,30531,1587628,1343305.4076344373,18.188164134306227
Sammie Szmodics,IRL,"FW,MF",Ipswich Town,28,30531,1587628,,
Rico Lewis,,RB,Manchester City,20,30531,1587628,4588456.466628997,-65.39951917280838
Gustavo Nunes,,LW,Brentford,19,30531,1587628,,
Yoane Wissa,COD,FW,Brentford,27,30531,1587628,3120669.3963250276,-49.12540232971722
Renato Veiga,,LB,Chelsea,21,30531,1587628,,
Dwight McNeil,ENG,"MF,FW",Everton,24,30531,1587628,2134839.9652037383,-25.632458363290716
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,22,30531,1587628,2439587.5381639577,-34.922277837389906
Jota Silva,POR,"FW,MF",Nott'ham Forest,24,30531,1587628,,
Jorge Cuenca,ESP,DF,Fulham,24,30531,1587628,,
Jaidon Anthony,ENG,"FW,MF",Bournemouth,24,32727,1701801,,
Isaac Hayden,ENG,DM,Newcastle Utd,29,26868,1397113,,
Antonín Kinský,,GK,Tottenham,21,26849,1396151,,
Nayef Aguerd,MAR,,West Ham,28,26849,1396151,,
Abdukodir Khusanov,,CB,Manchester City,20,26849,1396151,,
Bashir Humphreys,,CB,Chelsea,21,26849,1396151,,
Carlos Alcaraz,ARG,"FW,MF",Everton,21,26849,1396151,,
Kobbie Mainoo,,CM,Manchester Utd,19,24425,1270102,4648812.310330277,-72.6790002431876
Gavin Bazunu,IRL,GK,Southampton,22,24425,1270102,,
Kyle Walker-Peters,ENG,DF,Southampton,27,24425,1270102,2307819.00885142,-44.96526828452991
Mateus Fernandes,,CM,Southampton,20,24425,1270102,1782744.0243535594,-28.755784192823103
Ross Stewart,SCO,FW,Southampton,28,24425,1270102,,
Mark Travers,IRL,GK,Bournemouth,25,24425,1270102,,
Jean-Clair Todibo,FRA,DF,West Ham,24,24425,1270102,3234898.559819394,-60.73750145442241
Kosta Nedeljkovic,,RB,Aston Villa,18,24425,1270102,,
Carlos Forbs,,LW,Wolves,20,24425,1270102,,
Daniel Bentley,ENG,GK,Wolves,31,24425,1270102,,
Daniel Iversen,DEN,GK,Leicester City,27,24425,1270102,,
William Osula,,CF,Newcastle Utd,21,24425,1270102,,
Christian Walton,ENG,GK,Ipswich Town,28,24425,1270102,,
Liam Delap,,CF,Ipswich Town,21,24425,1270102,826751.1523340103,53.62567036215928
Mads Roerslev,DEN,DF,Brentford,25,24425,1270102,686172.1121579631,85.09962405869548
Sepp van den Berg,NED,DF,Brentford,22,24425,1270102,1160863.288606088,9.410127141248568
Jason Steele,ENG,GK,Brighton,33,24425,1270102,,
Tim Iroegbunam,,CM,Everton,21,24425,1270102,,
Issa Kaboré,BFA,"DF,MF",Manchester City,23,26182,1361441,,
Jeremy Sarmiento,ECU,MF,Brighton,22,26182,1361441,,
Albert Grønbaek,,CM,Southampton,23,24164,1256536,,
Chido Obi-Martin,,CF,Manchester Utd,17,20137,1047113,,
Welington,BRA,"DF,MF",Southampton,23,20137,1047113,,
Romain Esse,,AM,Crystal Palace,19,20137,1047113,,
Hamed Junior Traorè,CIV,"FW,MF",Bournemouth,24,20137,1047113,,
Julio Soler,,LB,Bournemouth,19,20137,1047113,,
Andrés García,,RB,Aston Villa,21,20137,1047113,,
Enzo Barrenechea,,,Aston Villa,23,20137,1047113,,
Ki-Jana Hoever,NED,,Wolves,23,20137,1047113,,
Nasser Djiga,BFA,DF,Wolves,21,20137,1047113,,
Woyo Coulibaly,FRA,DF,Leicester City,25,20137,1047113,,
Julio Enciso,PAR,"MF,FW",Ipswich Town,20,20137,1047113,,
Christian McFarlane,,LB,Manchester City,18,20137,1047113,,
Claudio Echeverri,,AM,Manchester City,19,20137,1047113,,
Aarón Anselmino,,CB,Chelsea,19,20137,1047113,,
Andrey Santos,,,Chelsea,20,20137,1047113,,
Eiran Cashin,IRL,DF,Brighton,22,20137,1047113,,
Armel Bella Kotchap,GER,DF,Southampton,22,18319,952577,,
Juan Larios,,LB,Southampton,21,18319,952577,,
Nathan Wood,,CB,Southampton,22,18319,952577,,
Ronnie Edwards,ENG,DF,Southampton,21,18319,952577,,
Ryan Manning,IRL,"DF,MF",Southampton,28,18319,952577,1896423.101684313,-49.76980616013555
Samuel Edozie,,LW,Southampton,22,18319,952577,,
Brandon Austin,ENG,GK,Tottenham,25,18319,952577,,
Lucas Bergvall,,AM,Tottenham,18,18319,952577,2810996.200847537,-66.11247643405598
Enes Ünal,TUR,"FW,MF",Bournemouth,27,18319,952577,,
Wes Foderingham,ENG,GK,West Ham,33,18319,952577,,
Curtis Jones,ENG,"MF,DF",Liverpool,23,18319,952577,4523348.976703854,-78.94089081107913
Jørgen Strand Larsen,NOR,FW,Wolves,24,18319,952577,,
Luke Cundle,ENG,MF,Wolves,22,18319,952577,,
Pedro Lima,,RB,Wolves,18,18319,952577,,
Kasey McAteer,IRL,"FW,MF",Leicester City,22,18319,952577,,
Luke Thomas,ENG,DF,Leicester City,23,18319,952577,1707684.2519337898,-44.21820082247071
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,18319,952577,,
Conor Townsend,ENG,DF,Ipswich Town,31,18319,952577,,
James McAtee,,CM,Manchester City,21,18319,952577,,
Jayden Meghoma,,LB,Brentford,18,18319,952577,,
Yunus Emre Konak,,DM,Brentford,19,18319,952577,,
Carlos Miguel,BRA,GK,Nott'ham Forest,25,18319,952577,,
Ashley Phillips,,CB,Tottenham,19,19636,1021080,,
Ben Doak,,RW,Liverpool,19,19636,1021080,,
Lewis O'Brien,ENG,CM,Nott'ham Forest,26,19636,1021080,,
Enso González,,LW,Wolves,19,15266,793814,,
Carlos Baleba,,DM,Brighton,21,15266,793814,1621815.9477196776,-51.05400208228767
Simon Adingra,CIV,"FW,MF",Brighton,22,15266,793814,1785462.8751626392,-55.540156502683324
Luke Harris,,AM,Fulham,19,16363,850900,,
Alex Palmer,ENG,GK,Ipswich Town,27,16109,837690,1492000.8387445258,-43.85458920352276
Naouirou Ahamada,FRA,MF,Crystal Palace,22,13425,698075,,
Michael Olakigbe,,RW,Brentford,20,13425,698075,,
Valentín Barco,ARG,MF,Brighton,20,13425,698075,,
Wayne Hennessey,WAL,GK,Nott'ham Forest,37,13425,698075,,
James Bree,ENG,DF,Southampton,26,12213,635051,1890771.5462075623,-66.41312900684585
Joe Lumley,ENG,GK,Southampton,29,12213,635051,,
Caoimhín Kelleher,IRL,GK,Liverpool,25,12213,635051,,
Conor Bradley,NIR,DF,Liverpool,21,12213,635051,,
Joe Gauci,,GK,Aston Villa,24,12213,635051,,
Kortney Hause,ENG,CB,Aston Villa,29,12213,635051,,
Rayan Aït-Nouri,ALG,DF,Wolves,23,12213,635051,,
Tom King,WAL,GK,Wolves,29,12213,635051,,
Tommy Doyle,ENG,MF,Wolves,22,12213,635051,,
Issahaku Fatawu,,RW,Leicester City,20,12213,635051,,
Jakub Stolarczyk,,GK,Leicester City,24,12213,635051,,
Mads Hermansen,,GK,Leicester City,24,12213,635051,1873882.958282549,-66.11042342889778
Stephy Mavididi,ENG,FW,Leicester City,26,12213,635051,1331891.3756653443,-52.31961017220633
Mark Gillespie,ENG,GK,Newcastle Utd,32,12213,635051,,
Ali Al Hamadi,IRQ,FW,Ipswich Town,22,12213,635051,,
Harry Clarke,,RB,Ipswich Town,23,12213,635051,,
Jack Taylor,IRL,MF,Ipswich Town,26,12213,635051,,
Massimo Luongo,AUS,MF,Ipswich Town,31,12213,635051,,
Wes Burns,WAL,"FW,DF",Ipswich Town,29,12213,635051,,
Hákon Rafn Valdimarsson,,GK,Brentford,22,12213,635051,,
Kevin Schade,GER,FW,Brentford,22,12213,635051,823186.7609736352,-22.854565925126767
Jack Hinshelwood,,RB,Brighton,19,12213,635051,923789.3773128836,-31.255866802968125
Jakub Moder,POL,MF,Brighton,25,12213,635051,,
Steven Benda,GER,GK,Fulham,25,12213,635051,,
Joe Whitworth,,GK,Crystal Palace,20,13091,680720,,
Callum Marshall,,CF,West Ham,20,13091,680720,,
Rhys Williams,ENG,CB,Liverpool,24,13091,680720,,
Kaine Kesler,,RB,Aston Villa,22,13091,680720,,
Lino Sousa,,LB,Aston Villa,20,13091,680720,,
Hugo Bueno,,LB,Wolves,22,13091,680720,,
Harrison Ashby,,RB,Newcastle Utd,23,13091,680720,,
Tom McGill,,GK,Brighton,25,13091,680720,,
Jonathan Panzo,ENG,CB,Nott'ham Forest,24,13091,680720,,
Ethan Wheatley,,CF,Manchester Utd,19,12082,628268,,
Joachim Kayi Sanda,,CB,Southampton,18,10740,558460,,
Tyler Morton,,DM,Liverpool,22,10740,558460,,
Lamare Bogarde,,CB,Aston Villa,21,9770,508041,,
Bastien Meupiyou,,CB,Wolves,18,9770,508041,,
Yerson Mosquera,COL,DF,Wolves,23,9770,508041,,
Michael Golding,,CM,Leicester City,18,9770,508041,,
John Ruddy,ENG,GK,Newcastle Utd,37,9770,508041,,
Cameron Burgess,AUS,DF,Ipswich Town,28,9770,508041,2369767.497013199,-78.56156772171433
Yasin Ayari,,CM,Brighton,21,9770,508041,1683990.5211770132,-69.83112472361731
Eric da Silva Moreira,,RW,Nott'ham Forest,18,9770,508041,,
Joe Rothwell,ENG,CM,Bournemouth,30,10473,544576,,
Kuryu Matsuki,,AM,Southampton,21,10068,523557,,
Dane Scarlett,,CF,Tottenham,20,10068,523557,,
Tayo Adaramola,,LB,Crystal Palace,21,10068,523557,,
Tommi O'Reilly,,AM,Aston Villa,21,10068,523557,,
Luke Mbete,,CB,Manchester City,21,10068,523557,,
Tyrique George,,LW,Chelsea,19,10068,523557,,
Taylor Harwood-Bellis,ENG,DF,Southampton,22,9159,476288,2071205.9820755164,-77.00431516122211
Alfie Whiteman,ENG,GK,Tottenham,25,9159,476288,,
Remi Matthews,ENG,GK,Crystal Palace,30,9159,476288,,
Luke Woolfenden,ENG,DF,Ipswich Town,25,9159,476288,1282326.4886925374,-62.857509050941914
Cesare Casadei,,CM,Chelsea,21,9159,476288,,
Lucas Bergström,FIN,GK,Chelsea,21,9159,476288,,
João Virgínia,POR,GK,Everton,24,9159,476288,,
Rodrigo Muniz,BRA,FW,Fulham,23,9159,476288,,
Jesurun Rak-Sakyi,,RW,Crystal Palace,22,9818,510540,,
Vitezslav Jaros,,GK,Liverpool,23,8549,444536,,
Lewis Hall,,LB,Newcastle Utd,20,8549,444536,2463180.893073949,-81.95276679638266
Josh Wilson-Esbrand,,LB,Manchester City,21,8549,444536,,
Matthew Cox,,GK,Brentford,21,8549,444536,,
Marcus Harness,ENG,MF,Ipswich Town,28,8308,431996,,
Ethan Nwaneri,,AM,Arsenal,17,8055,418845,,
Jahmai Simpson-Pusey,,CB,Manchester City,19,8055,418845,,
Ellery Balcombe,ENG,GK,Brentford,25,8055,418845,,
Leo Castledine,,AM,Chelsea,19,8055,418845,,
Nathan Broadhead,WAL,"MF,FW",Ipswich Town,26,7328,381031,,
Omari Hutchinson,,RW,Ipswich Town,21,7328,381031,1384860.483154235,-72.48596485819692
Shea Charles,,DM,Southampton,21,7854,408432,,
Joe Hugill,,CF,Manchester Utd,21,7383,383941,,
Harry Amass,,LB,Manchester Utd,17,6712,349038,,
Tyler Fredricson,,CB,Manchester Utd,20,6712,349038,,
Mikey Moore,,LW,Tottenham,17,6712,349038,,
Min-hyeok Yang,,RW,Tottenham,18,6712,349038,,
Caleb Kporha,,RB,Crystal Palace,18,6712,349038,,
Daniel Jebbison,ENG,FW,Bournemouth,20,6712,349038,,
Calvin Ramsay,SCO,RB,Liverpool,21,6712,349038,,
Nigel Lonwijk,NED,CB,Wolves,22,6712,349038,,
Daniel Gore,,CM,Manchester Utd,19,6106,317526,,
Toby Collyer,,DM,Manchester Utd,20,6106,317526,,
Samuel Amo-Ameyaw,,RW,Southampton,18,6106,317526,,
Tyler Dibling,,RW,Southampton,18,6106,317526,1179938.956928487,-73.08962483732586
Louie Moulden,ENG,GK,Crystal Palace,22,6106,317526,,
James Hill,ENG,DF,Bournemouth,22,6106,317526,,
Andy Irving,SCO,MF,West Ham,24,6106,317526,,
Garang Kuol,,LW,Newcastle Utd,19,6106,317526,,
Lewis Miley,,CM,Newcastle Utd,18,6106,317526,,
Ji-soo Kim,,CB,Brentford,19,6106,317526,,
Yegor Yarmolyuk,,AM,Brentford,20,6106,317526,,
Josh Acheampong,,RB,Chelsea,18,6106,317526,,
Ed Turns,,CB,Brighton,21,6106,317526,,
Joe Hodge,,DM,Wolves,22,6545,340360,,
Myles Peart-Harris,ENG,MF,Brentford,21,6545,340360,,
Myles Lewis-Skelly,,LB,Arsenal,18,5370,279230,2346810.532599302,-88.10172375991819
Ayden Heaven,,CB,Manchester Utd,18,5370,279230,,
Luke Plange,ENG,CF,Crystal Palace,22,5370,279230,,
Matai Akinmboni,USA,DF,Bournemouth,17,5370,279230,,
Mahamadou Susoho,,DM,Manchester City,20,5370,279230,,
Billy Crellin,,GK,Everton,24,5370,279230,,
Teddy Sharman-Lowe,,GK,Chelsea,21,5101,265269,,
Jimmy-Jay Morgan,,CF,Chelsea,19,4699,244326,,
Dom Ballard,,CF,Southampton,19,4027,209423,,
Jamie Donley,,SS,Tottenham,20,4027,209423,,
Justin Devenny,,CM,Crystal Palace,21,4027,209423,,
Kaden Rodney,,DM,Crystal Palace,20,4027,209423,,
Harvey Davies,,GK,Liverpool,21,4027,209423,,
Josh Feeney,,CB,Aston Villa,19,4027,209423,,
Louie Barry,ENG,LW,Aston Villa,21,4027,209423,,
Dexter Lembikisa,,RB,Wolves,21,4027,209423,,
Callum Doyle,ENG,CB,Manchester City,21,4027,209423,,
Amario Cozier-Duberry,,RW,Brighton,19,4027,209423,,
Samy Chouchane,,CM,Brighton,21,4027,209423,,
Stefanos Tzimas,,CF,Brighton,19,4027,209423,,
Martial Godo,,LW,Fulham,21,4027,209423,,
Alex Murphy,,LB,Newcastle Utd,20,3664,190515,,
Cieran Slicker,,GK,Ipswich Town,21,3664,190515,,
Paris Maghoma,,CM,Brentford,23,3664,190515,,
Imari Samuels,ENG,DF,Brighton,21,3664,190515,,
Killian Cahill,,GK,Brighton,20,3664,190515,,
Zach Abbott,,CB,Nott'ham Forest,18,3664,190515,,
Carl Rushworth,ENG,GK,Brighton,23,3927,204216,,
Will Lankshear,,CF,Tottenham,19,3356,174519,,
Kaelan Casey,,CB,West Ham,20,3356,174519,,
Kaide Gordon,,RW,Liverpool,20,3356,174519,,
Ben Nelson,,CB,Leicester City,20,3356,174519,,
Finley Burns,ENG,CB,Manchester City,21,3356,174519,,
Alex Matos,,CM,Chelsea,20,3356,174519,,
Ryan Trevitt,,CM,Brentford,21,3053,158763,,
Chem Campbell,WAL,AM,Wolves,22,3273,170180,,
Dominic Corness,,DM,Liverpool,21,3021,157067,,
Val Adedokun,,LB,Brentford,21,3021,157067,,
Luca Barrington,,LW,Brighton,20,3021,157067,,
Franco Umeh-Chibueze,,RW,Crystal Palace,20,2685,139615,,
Max Kinsey,,CB,Bournemouth,20,2685,139615,,
Silko Thomas,,RW,Leicester City,20,2685,139615,,
Joe White,ENG,AM,Newcastle Utd,22,2685,139615,,
Jadel Katongo,,CB,Manchester City,20,2685,139615,,
Caleb Wiley,USA,LB,Chelsea,20,2685,139615,,
Dylan Williams,,LB,Chelsea,21,2685,139615,,
Kamari Doyle,,AM,Brighton,19,2685,139615,,
Odeluga Offiah,,RB,Brighton,22,2685,139615,,
Josh King,,CM,Fulham,18,2685,139615,,
Will Dennis,ENG,GK,Bournemouth,24,2443,127010,,
Will Dickson,,CF,Manchester City,20,2416,125654,,
Rhys Bennett,,CB,Manchester Utd,21,2349,122163,,
Owen Goodman,,GK,Crystal Palace,21,2014,104711,,
Freddie Potts,,DM,West Ham,21,2014,104711,,
Mohamadou Kanté,,CM,West Ham,19,2014,104711,,
Travis Patterson,,LB,Aston Villa,19,2014,104711,,
Francis Okoronkwo,,CF,Everton,20,2014,104711,,
Dale Taylor,,CF,Nott'ham Forest,21,2014,104711,,
Elkan Baggott,,CB,Ipswich Town,22,1964,102108,,
Sam Mather,,LW,Manchester Utd,20,1342,69808,,
Patrick Kelly,,DM,West Ham,20,1342,69808,,
Charlie McArthur,,CB,Newcastle Utd,19,1342,69808,,
Max Thompson,,GK,Newcastle Utd,20,1342,69808,,
Cameron Humphreys,,CM,Ipswich Town,21,1309,68072,,
George Abbott,,DM,Tottenham,19,1007,52356,,
Rico Richards,ENG,AM,Aston Villa,21,1007,52356,,
Kobei Moore,,CF,Aston Villa,20,805,41885,,
Luca Stephenson,,DM,Liverpool,21,537,27923,,
